"LNR";"Family";"Genus";"Species";"AuthorYear";"Collection";"KatalogNrPers";"Specimens";"Specimenbased";"MaleCount";"FemaleCount";"JuvenileCount";"Leg";"Det";"Date";"Month";"Year";"Region";"Locality";"LatPrec";"LongPrec";"RadiusNew";"NotesF";"NotesonLoc";"NotesonSpecimen";"NotesonTube";"UTM10"
;"Linyphiidae";"Dicymbium";"tibiale";"(Blackwall, 1836)";"ZMUC";"JL05939";3;0;1;2;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Walckenaeria";"cuspidata";"Blackwall, 1833";"ZMUC";"JL05940";3;0;0;3;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Walckenaeria";"nudipalpis";"(Westring, 1851)";"ZMUC";"JL05941";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Lycosidae";"Piratula";"hygrophilus";"Thorell, 1872";"ZMUC";"JL05942";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Maso";"sundevalli";"(Westring, 1851) ";"ZMUC";"JL05943";5;0;1;4;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Gongylidiellum";"vivum";"(O. P.-Cambridge, 1875)";"ZMUC";"JL05944";3;0;0;3;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Micrargus";"herbigradus";"(Blackwall, 1854) ";"ZMUC";"JL05945";5;0;2;3;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Agyneta";"ramosa";"Jackson, 1912";"ZMUC";"JL05946";2;0;0;2;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Theridiidae";"Robertus";"lividus";"(Blackwall, 1836)";"ZMUC";"JL05947";5;0;3;2;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Tetragnathidae";"Pachygnatha";"listeri";"Sundevall, 1830";"ZMUC";"JL05948";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Walckenaeria";"nudipalpis";"(Westring, 1851)";"ZMUC";"JL05950";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Bathyphantes";"nigrinus";"(Westring, 1851)";"ZMUC";"JL05951";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Tallusia";"experta";"(O. P.-Cambridge, 1871) ";"ZMUC";"JL05952";2;0;0;2;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Macrargus";"rufus";"(Wider, 1834) ";"ZMUC";"JL05953";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Centromerus";"sylvaticus";"(Blackwall, 1841)";"ZMUC";"JL05954";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Tapinocyba";"pallens";"(O. P.-Cambridge, 1872)";"ZMUC";"JL05955";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Theridiidae";"Robertus";"scoticus";"Jackson, 1914";"ZMUC";"JL05956";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Ceratinella";"brevis";"(Wider, 1834) ";"ZMUC";"JL05957";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
;"Linyphiidae";"Micrargus";"herbigradus";"(Blackwall, 1854) ";"ZMUC";"JL05958";3;0;2;1;0;"Jan Pedersen";"Jørgen Lissner";10;9;2005;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt løv på skygget bund i ellesump)";56.86447;10.24312;25;;;;;"NJ70"
