"SpeciesID","GenusID","Species","PsFurtherTaxa","SortOrder","SAuthor","N_D","NameDK","NameUK","SpEu","SpFO","SpGL","SpAZ","SBiolEuDK","SBiolEuUK","SBiolDkDK","SBiolDkUK","SBiolFoDK","SBiolFoUK","SBiolGlDK","SBiolGlUK","SBiolAzUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SHabFoDK","SHabFoUK","SHabGlDK","SHabGlUK","SHabAzUK","SMatEuDK","SMatEuUK","SMatDkDK","SMatDkUK","SMatFoDK","SMatFoUK","SMatGlDK","SMatGlUK","SMatAzUK","SOriginFO","SOriginAZ","Notes","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK","SDistriFoDK","SDistriFoUK","SDistriGlDK","SDistriGlUK","SDistriAzUK","P_Distribution","VH_Distribution","AD","AL","AUT","BA","BE","BG","BYR","CH","CY","CZ","DE","DK","EE","ES_BAL","ES_CNY","ES_SPA","FI","FO","FR_COR","FR","GB","GB_CI","GB_GI","GB_NI","GR_AEG","GR_CYC","GR_DOD","GR_GRC","GR_KRI","HR","HU","ICL","IE","IT_ITA","IT_SAR","IT_SI","LI","LT","LU","LV","MC","MD","MK","MT","NL","NO_NOR","NO_SVA","PL","PT_AZO","PT_MDR","PT_POR","PT_SEL","RO","RU_FJL","RU_KGD","RU_NOZ","RU_RUC","RU_RUE","RU_RUN","RU_RUS","RU_RUW","SE","SI","SK","SM","TR_TUE","UA","VA","YU"
"227","65","miniata","0","","(C. L. Koch, 1834)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Palearctic","Austria, Belarus, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Greece (Mainland), Hungary, Italy (Mainland), Latvia, Lithuania, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (NW. European), Russia (Southern European), Slovakia, Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","P","P","","P","P","P","P","","","","P","","P","P","P","","","","","","","P","","P","P","","","P","","","","P","","P","","P","P","","P","P","","P","","","P","","P","","","","P","P","","P","P","P","","P","","","P","","P"
"229","66","cuneata","0","","(Clerck, 1757)","0","Tykbenet kæmpejæger","","0","0","0","0","","","","","","","","","","","","6-7.5","7-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Palearctic","Andorra, Austria, Belarus, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France (Mainland), Germany, Great Britain (Mainland), Great Britain (Northern Ireland), Greece (Crete), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Latvia, Liechtenstein, Lithuania, Luxemburg, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (NW. European), Russia (Southern European), Slovakia, Slovenia, Sweden, Switzerland, Ukraine, Yugoslavia","P","","P","","P","P","P","P","","P","P","P","P","","","","P","","","P","P","","","P","","","","P","P","P","P","","P","P","","","P","P","P","P","","P","P","","P","P","","P","","","P","","P","","","","P","P","P","P","P","P","P","P","","","P","","P"
"230","66","barbipes","0","","(Sundevall, 1833)","0","Klitkæmpejæger","","0","0","0","0","","","","","","","","","","Hunnens forkrop mørkebrun med bugtet, lyst midterbånd. Laterale bånd brudte og utydelige, pånær forrest. Bagkrop med mørkt tydeligt afgrænset hjertemærke i et lyst midterbånd med sildebensmønster, hvor hjertemærket strækker sig over de to forreste sildebenstegninger. Bugside af bagkroppen er lys i modsætning til de fleste arter med mørkt hjertemærke i lyst midterbånd. Ringtegninger tydelige på femora, mindre tydelige på øvrige benled. Hannens forkrop er lig hunnens, men med klarere farver og mere kontrast. Bagkrop med bredt midterbånd uden tydelig sildebensmønster, og er flankeret af mørke pletter. Ben uden ringtegninger, metatarsus, tibia og underside af femur på benpar I er sorte og forsynet med lange hår af uens længde. Tibia I er tydeligt opsvulmet.","Female abdomen dark brown with sinuous pale median band. Lateral bands broken and indistinct except at sides of head. Abdomen with clearly outlined dark cardiac mark enclosed by a light median band with chevrons. The cardiac mark span the length of the two first chevrons. Ventral side light in contrast to most species having dark cardiac mark enclosed in pale band. Femora with clear annulations on femora, less clear on other segments. Male carapace similar to female, but with more contrast colours. Abdomen with pale median band flanked with dark spots, and without distinct chevrons as in the female. Legs without annulations, metatarsus, tibia and underside of femora of legs I black and furnished with dark hairs of uneven lengths. Tibia I distinctly swollen.","7.5-9","8-12","Heder og tørre overdrev.","Heathland with bare patches and dry grassland.","","","","","","","","Forår til efterår.","Spring to autumn.","","","","","","","","","","","En af de almindeligste danske arter i slægten, og kendt fra det meste af landet. Vidt udbredt i Nord- og Mellemeuropa og almindelig. I den sydlige del af Mellemeuropa forekommer den meget lignenede <i>A. accentuata</i> (Latreille 1817) som arten har været forvekslet med.","One the commonest species of the genus in Denmark with records from most districts. Widespread and common in northern and central Europe. The species has been confused with the very similar <i>Alopecosa accentuata</i> (Latreille 1817) which is found in southern parts of central Europe.","","","","","","","","Palearctic","Belgium, Bulgaria, Croatia, Denmark, Estonia?, Finland, France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Great Britain (Northern Ireland), Ireland, Lithuania, Macedonia, Netherlands, Norway (Mainland), Poland, Portugal (Mainland), Slovenia, Sweden, Yugoslavia","","","","","P","P","","","","","P","P","PQ","","","","P","","P","P","P","","","P","","","","","","P","","","P","","","","","P","","","","","P","","P","P","","P","","","P","","","","","","","","","","","P","P","","","","","","P"
"231","66","fabrilis","0","","(Clerck, 1757) ","0","","","0","0","0","0","","","","","","","","","","<i>Alopecosa fabrilis</i> er en meget stor jagtedderkop, hvor størrelsen sammenholdt med artens karakteristiske lyse farvetegninger og kraftige ben, bevirker at den er let at feltbestemme. Hunnens forkrop brun med bugtet midterbånd og tydelige laterale bånd. De brune områder har mørkere tværstriber. Bagkrop med relativt store, parrede hvide pletter. Ventralsiden er sort. Ben med pletmønstre og svage ringtegninger. Hannen ligner hunnen men med lyse områder mere lyse på grund af tættere behåring med hvide hår. Ben mørkebrune og uens beklædt med lyse hår således at de fremstår med mørke pletmønstre og længdestriber.","<i>Alopecosa fabrilis</i> is a large wolf spider with stout legs and light colours. Size and the characteristic general appearance makes it relatively easy to identify the species in the field. Female carapace brown with sinuous median band and distinct lateral bands. Brown areas streaked with darker transverse lines. Abdomen with relatively large white spots. Ventral side black. Legs covered in light pubescence with darker spots and vague annulations where the pubescence is less dense. Male similar to female, but with pale areas lighter. Legs dark brown, and clothed with white pubescence. Femora with dark streaks and spots where pubescence is less dense or absent.","10-12","13-16","Klitter og i sandende partier af heder, hvor den lyse farve giver god camouflage på bare sandflader.","Coastal dunes and sandy parts of dry heathers, at which sites the light colours provide excellent camouflage on bare sand.","","","","","","","","September til juli.","September to July.","","","","","","","","","","","I Danmark er arten vidt udbredt men ret fåtallig i områder med egnet habitat, primært i Jylland. Vidt udbredt i Europa men generelt sjælden.","Widespread in Denmark, particular in western parts where suitable habitat is more frequent than in eastern parts. Usually, the species occur in fairly low numbers. Widespread in Europe, but rather rare in most regions.","","","","","","","","Palearctic","Belarus, Belgium, Bulgaria, Czech Republic, Denmark, Estonia, Finland, France (Mainland), Germany, Great Britain (Mainland), Hungary, Italy (Mainland), Italy (Sardinia), Italy (Sicily), Latvia, Liechtenstein, Lithuania, Macedonia, Netherlands, Norway (Mainland), Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (NW. European), Slovakia, Slovenia, Sweden, Switzerland, Ukraine, Yugoslavia","","","","","P","P","P","P","","P","P","P","P","","","","P","","","P","P","","","","","","","","","","P","","","P","P","P","P","P","","P","","","P","","P","P","","P","","","","","P","","","","P","P","P","","P","P","P","P","","","P","","P"
"232","67","ruricola","0","","(De Geer, 1778) ","0","","","0","0","0","0","","","","","","","","","","Hunnens forkrop mørkebrun med lysere midterbånd der er udvidet fortil og indeholder to langsgående mørke bjælker. Sidebånd og hjertemærket på bagkroppen af samme gulbrune farve som midterbåndet. Bagkroppen i øvrigt med utydeligt mønster og fremtræder på lidt afstand ensfarvet grønligbrun. Ben ligeledes grønligtbrune. Hannens forkrop er mørkere end hunnens og med skarpere aftegnet og smallere midterbånd. Kloen på palpespidsen er relativt større end hos <i>T. robusta</i>. Bagkroppen er mørkebrun med ret lyst hjertemærke. Ben grønligtbrune som hos hunnen, men med tibia, metatarsi og tarsi på første benpar mørkebrune.","Female abdomen dark brown with pale median band broadened anteriorly, and enclosing two well-defined longitudinal black bars. Lateral bands and cardiac mark are of the same pale colour as the median band. Abdomen without clear markings and appear uniformly greenish-brown . Legs also greenish-brown. Male carapace darker than that of the female and with more clearly outlinedt and narrower median band. The claw at the male palpal tip is relatively larger than that of <i>T. robusta</i>. Abdomen dark brown with light cardiac mark. Legs greenish-brown as in the female, but with tibia, metatarsi, and tarsi of Legs I dark brown.","7-9","9-14","En ret almindelig art i mange habitattyper, hvor det ikke er for tørt. Arten træffes også  jævnligt i haver, hvor den er en af de største jagtedderkopper.","The species is common in Denmark at ground level in a wide variety of usually damp habitats. The species is often found in gardens where it is one of the largest wolf spiders.","","","","","","","","Hele året.","All year.","","","","","","","","","","","Vidt udbredt i Danmark med fund fra de fleste landsdele. Dog mindre hyppig end slægtens almindeligste art, <i>T. terrestris</i>. Vidt udbredt i Nord- og Mellemeuropa og generelt almindelig.","Widespread in Denmark with records from almost all zoological districts. However, the species is less common than the commonest species of the genus, <i>T. terrestris</i>. Widespread in North and Central Europe and generally common.","","","","","","","","Holarctic, Bermuda","Austria, Belarus, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France (Corsica), France (Mainland), Germany, Great Britain (Channel Islands), Great Britain (Mainland), Great Britain (Northern Ireland), Greece (Crete), Greece (Cyclades), Greece (Dodecanese Islands), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Italy (Sicily), Latvia, Liechtenstein, Lithuania, Luxemburg, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (Kaliningrad Region), Russia (Northern European), Russia (NW. European), Russia (Southern European), Slovakia, Slovenia, Spain (Balearic Islands), Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","P","P","","P","P","P","P","P","","P","P","","P","P","P","P","","P","","P","P","P","P","P","P","","P","P","","P","P","P","P","P","","P","P","","P","P","","P","","","P","","P","","P","","P","P","P","P","P","P","P","P","","","P","","P"
"233","67","robusta","0","","(Simon, 1876)","0","","","0","0","0","0","","","","","","","","","","Den største art i slægten, men mindre individer overlapper i størrelse med <i>T. ruricola</i>. Farvetegningerne minder meget om den noget mindre <i>T. ruricola</i> men det lyse midterbånd på forkroppen er smallere, og de sorte langsgående bjælker er ofte utydelige. Hannen med en relativt mindre klo på palpespidsen end hos <i>T. ruricola</i>.","Largest species of the genus but there is some size overlap with <i>T. ruricola</i>. Markings very similar to the somewhat smaller <i>T. ruricola</i>, but the light median band is narrower and the longitudinal black bars are often less distinct. Male palpal tip has a relatively smaller claw than <i>T. ruricola</i>.","9-16","11-18","Tørre kalkoverdrev og  kalkklipper, gerne stejle klinter, hvor edderkopperne tilbringer dagen skjult i revner.","Dry chalk grassland and cliffs (also vertical surfaces) where the spiders spend the daytime hidden in cracks.","","","","","","","","Efterår til tidlig sommer.","Autumn to early summer.","","","","","","","","","","","I Danmark kun kendt fra kalkklint på Bornholm, hvor arten blev fundet for første gang i 2005. Vidt udbredt i Europa men ret sjælden, især mod nord.","In Denmark only known from the island of Bornholm where the species was discovered for the first time in 2005. Widespread in Europe but uncommon, particularly to the north.","","","","","","","","Palearctic","Andorra, Austria, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, France (Mainland), Germany, Great Britain (Mainland), Hungary, Italy (Mainland), Latvia, Lithuania, Macedonia, Moldova, Netherlands, Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (Southern European), Slovakia, Slovenia, Spain (Mainland), Switzerland, Ukraine, Yugoslavia","P","","P","","P","P","","P","","P","P","P","P","","","P","","","","P","P","","","","","","","","","P","P","","","P","","","","P","","P","","P","P","","P","","","P","","","","","P","","","","P","P","P","P","","","P","P","","","P","","P"
"235","67","spinipalpis","0","","(F. O. P.-Cambridge, 1895)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Palearctic","Austria, Belarus, Belgium, Czech Republic, Denmark, Estonia, Finland, France (Mainland), Germany, Great Britain (Mainland), Great Britain (Northern Ireland), Hungary, Ireland, Latvia, Liechtenstein, Lithuania, Luxemburg, Netherlands, Norway (Mainland), Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (Kaliningrad Region), Russia (Northern European), Russia (NW. European), Russia (Southern European), Slovakia, Slovenia, Sweden, Switzerland, Ukraine","","","P","","P","","P","P","","P","P","P","P","","","","P","","","P","P","","","P","","","","","","","P","","P","","","","P","P","P","P","","","","","P","P","","P","","","","","P","","P","","P","P","P","P","P","P","P","P","","","P","",""
"236","68","perita","0","","(Latreille, 1799)","0","Klitgraveedderkop","","0","0","0","1","","","","","","","","","","Forkrop i brune til sorte farver med to lyse pletter bag de bagerste øjne og med nogle mindre pletter om fortsætter bagud og tilsammen danner utydelige, brudte sidebånd. Bagkropstegninger ret spraglede og noget variable, men ikke desto mindre karakteristiske for arten. Typisk med gråligt hjertemærke flankeret på siderne af to lyserøde til orangerøde felter, efterfulgt af et par mindre hvide pletter. Bagerste halvdel med sorte tværstriber et et par store hvide pletter efterfulgt af flere mindre par. Ben med meget tydelige ringtegninger pånær tarserne som er lyse.","Carapace brown to black with white spots behind the posterior eyes followed by smaller spots which together constitute irregular and broken lateral bands. Abdomen gaudy and variable. Often with grey cardiac mark flanked by pink or orange red areas, followed by a pair of small white dots. Rear half with thin black transverse lines and a pair of large white spots followed by some smaller pairs. Legs with very distinct annulations, except for light tarsi.","7-8","8-9","Åbne og vegetationsfrie områder på sandbund. Især kystklitter, indlandsklitter, heder, ruderater og lysåbne skove.","Open and bare sandy areas. In particular coastal dunes, inland dunes, heathland, wasteland and open forests.","","","","","","","","September til juni.","September to June.","","","","","","","","","I","","Den almindeligste art i slægten, kendt fra alle landsdele. Vidt udbredt i Europa og lokalt almindelig i egnet habitat.","In Denmark this is the commonest member of the genus with records from all districts. Widespread in Europe, and common in suitable habitats.","","","","","","","Faial, Terceira, São Miguel","Holarctic","Belarus, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France (Mainland), Germany, Great Britain (Mainland), Great Britain (Northern Ireland), Greece (Dodecanese Islands), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Italy (Sardinia), Italy (Sicily), Latvia, Liechtenstein, Lithuania, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Portugal (Azores), Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Slovakia, Slovenia?, Spain (Canary Islands), Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","","","","P","P","P","P","","P","P","P","P","","P","P","P","","","P","P","","","P","","","P","P","","P","P","","P","P","P","P","P","P","","P","","P","P","","P","P","","P","P","","P","","P","","","","P","P","","","","P","PQ","P","","","P","","P"
"237","68","leopardus","0","","(Sundevall, 1833)","0","Leopardedderkop","","0","0","0","0","","","","","","","","","","Forkrop mørkebrun, noget skinnende og uens beklædt med gyldne hår, tættest i fovea regionen. Lyse laterale bånd dannet af hvide hår ses hos nogle individer. Bagkrop mørkebrun med gulbrunt, ret langstrakt og smalt hjertemærke. Øvrige områder af bagkroppen utydeligt spættet med gyldne og grå hår og med mørkebrune pletter hvor hårbeklædningen er tynd. Ben brune med sorte ringtegninger. Han og hun er meget ens i udseende.","Carapace darkbrown and somewhat shiny. Sparsely clothed  with golden hairs except for dense clothing in the fovea region. Some specimens possess light lateral bands composed of white hairs. Abdomen dark brown with yellow brown, rather elongate and narrow cardiac mark. Remaining areas of abdomen mottled with golden and grey hairs, except for small dark-brown areas where hairs are sparse or lacking. Legs brown with black annulations. Male and female very similar i general appearance.","6-7","8-9.5","I mos og detritus på strandenge.","In moss and detritus in mainly coastal marshes.","","","","","","","","Forår og sommer.","Spring and summer.","","","","","","","","","","","Lokalt udbredt ved de danske kyster hvor der er strandenge. Kendt fra de fleste zoologiske distrikter. Vidt udbredt i Europa men sjælden i mange områder grundet mangel på egnet habitat.","Locally distributed along Danish coasts, largely confined to salt marshes. Reported from most Danish districts. Widespread in Europe, but rare in many regions due to lack of suitable habitats.","","","","","","","","Palearctic","Albania, Austria, Belarus, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Great Britain (Northern Ireland), Greece (Crete), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Italy (Sardinia), Italy (Sicily), Latvia, Liechtenstein, Lithuania, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (Southern European), Slovakia, Slovenia, Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","P","P","","P","P","P","P","P","P","P","P","P","","","P","P","","P","P","P","","","P","","","","P","P","P","P","","P","P","P","P","P","P","","P","","P","P","","P","P","","P","","","","","P","","","","P","P","","P","","P","P","P","","","P","","P"
"238","68","cinerea","0","","(Fabricius, 1777) ","0","Sandgraveedderkop","","0","0","0","0","","","","","","","","","","Stor, smuk og lys edderkop som er ret tæt behåret med lange hvide hår. Forkrop gulbrun men lysnet meget grundet hårbeklædningen. Der er to lyse pletter på hver side af øjengruppen grundet områder med særlig tæt behåring.  Laterale bånd er svage og er ligeledes dannet af tættere behåring. Bagkrop lysebrun eller rødlig men lysegrå hvor tætbehåret. Hjertemærket hvidligt eller gulligt, efterfulgt af svage sildebenstegninger og parrede hvide pletter. Ben gulbrune med lyse ringtegninger dannet af hvide hår. De to køn ligner hinanden meget bortset fra at hannen er lidt mindre og slankere.","Large, handsome and light coloured spiders with fairly dense white pubescence. Carapace yellow-brown but appear lighter because of the pubescence. There are two light spots at each side of the eyegroup due to areas with dense clothing of white hairs. Abdomen light brown or reddish with whitish areas where pubescence is dense. Cardiac mark whitish or yellowish, followed by vague chevrons and paired white spots. Legs yellow-brown with light annulations made of dense white hairs. Male very similar to female but slightly smaller and slimmer.","12-14","14-17","I Danmark sand- og stenstrande ved de indre kyster. I Europa også sandede flod- og søbredder.","In Denmark this species seems to be confined to sandy and stony beaches. In Europe also sandy banks of rivers and lakes.","","","","","","","","Efterår, vinter og forår.","Autumn, winter and spring.","","","","","","","","","","","Vidt udbredt i Danmark og Europa men meget lokal.","Widespread in Denmark and Europe but very local.","","","","","","","","Palearctic, Congo","Albania, Austria, Belarus, Belgium, Bosnia/Herzegowina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Greece (Crete), Greece (Cyclades), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Italy (Sardinia), Italy (Sicily), Latvia, Lithuania, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Portugal (Madeira), Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (NW. European), Slovakia, Slovenia?, Spain (Canary Islands), Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","P","P","P","P","P","P","P","","P","P","P","P","","P","P","P","","P","P","P","","","","","P","","P","P","P","P","","P","P","P","P","","P","","P","","P","P","","P","P","","P","","P","P","","P","","","","P","P","P","","P","P","PQ","P","","","P","","P"
"239","68","fulvolineata","0","","(Lucas, 1846)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe, North Africa","France (Corsica), France (Mainland), Great Britain (Mainland), Italy (Mainland), Italy (Sardinia), Italy (Sicily), Portugal (Mainland), Spain (Balearic Islands), Spain (Mainland)","","","","","","","","","","","","","","P","","P","","","P","P","P","","","","","","","","","","","","","P","P","P","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","",""
"240","68","alpigena","0","","(Doleschall, 1852)","0","Fjeld-graveedderkop","Alpine bear-spider","0","1","1","0","","","","","","","","","","","The overall colouration of the species is reddish brown. Posterior end of carapace with two blackish dots. The legs are brown with dark annulations. The pale, very clear whitish cardiac mark is relatively wide and outlined by thin black line. Sometimes the cardiac mark is truncated at rear. Behind the cardiac mark there are some light transverse lines. The male and female have similar coloration.","5-8","7-10","","","","","","The Faroese specimen was found on a meadow near a small river at the farm Sund (Bengtson et al. 2004). In Britain the species is recorded from densely matted vegetation in dry places in the highland (among <i>Empetrum</i>, <i>Nardus</i>, <i>Vaccinium</i>) as well as <i>Racomitrium</i> heaths (Harvey et al. 2002). In Sweden the species is also found in <i>Sphagnum</i> bogs in subalpine and alpine regions (Almquist 2005).","","Various dry heathlands and dry steppe. In Iceland also open damp <i>Calliergon</i> moss (Agnarsson, 1996).","","","","","","","Only one male has been pitfall trapped on the Faroes at a date between May 20 and June 10. In Scotland adults have been found from May to August (Harvey et al. 2002).","","In Iceland adult males have been recorded from May to July, females from June to September (Agnarsson, 1996).","","N?B?","","","","","","","","A single male has been recorded from Sund, Streymoy (Bengtson et al. 2004). A northern species that is known from Scottish highland above 1000 m but unrecorded from Orkney and Shetland (Harvey et al. 2002). In Iceland the species is common in the central highland and is found on high ground from 200 to at least 1000 m (Agnarsson 1996). Also known from south and south east Greenland (Böcher 2003).","","S-SE. Circumpolar, low arctic-temperate.","","Holarctic","Austria, Estonia, Faroe Islands?, Finland, France (Mainland), Germany, Great Britain (Mainland), Iceland, Italy (Mainland), Latvia, Liechtenstein, Lithuania, Norway (Mainland), Romania, Russia (Kaliningrad Region), Russia (Northern European), Russia (NW. European), Slovenia?, Sweden, Switzerland","","","P","","","","","P","","","P","","P","","","","P","PQ","","P","P","","","","","","","","","","","P","","P","","","P","P","","P","","","","","","P","","","","","","","P","","P","","","","P","","P","P","PQ","","","","","",""
"241","68","lutetiana","0","","(Simon, 1876)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe, Russia","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, France (Mainland), Germany, Hungary, Italy (Mainland), Latvia, Liechtenstein, Moldova, Netherlands, Norway (Mainland), Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Slovakia, Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","","P","","P","P","P","","","","","","","","P","","","","","","","","","","P","P","","","P","","","P","","","P","","P","","","P","P","","P","","","","","P","","","","P","P","P","","","P","","P","","","P","","P"
"242","69","piscatorius","0","","(Clerck, 1757)","0","Stor piratjagtedderkop","","0","0","0","0","","","","","","","","","","Den største <i>Pirata</i> art med kontrastrige tegninger. Hoved og bagkrop med lange hår. Hunnens forkrop er mørkebrun med stemmegaffel tegning i lysere område bag hovedregionen. Laterale bånd utydelige. Langs margin ses et tyndt bånd af hvide hår. Bagkrop med gulbrunt hjertemærke og hvide punktrækker. Ben rødbrune. Hannens forkrop er sort med grønbrunmidterstribe. Området mellem gaflerne i stemmegaffel tegningen er sort. Typisk med brede, hvide bånd langs margen dannet af tætte hvide hår. Bagkrop med tydelige punktrækker og kontrastrig hvid stribe langs siderne. Hjertemærket er rødbrunt. Hannen kan forveksles med arter af <i>Dolomedes</i>.","Largest <i>Pirata</i> species with constrasting markings. Head region and abdomen with long hairs. The male may be mistaken for species of the <i>Dolomedes</i> genus. Female carapace dark brown with tune fork marking in light area behind the head. Lateral bands indistinct. A thin line of white hairs is present along the margin. Abdomen with yellow brown cardiac mark and paired white spots. Legs reddish-brown. Male carapace blackish with greenish-brown median band. The area between the forks in the tune fork-shaped marking is black. Typically there is a wide band along the margin densely clothed with white hairs. Abdomen with clear paired spots, and contrasting white bands along sides. Cardiac mark reddish-brown.","5-8","6-10","Især tørvemoser.","Mainly peat bogs.","","","","","","","","Maj til august.","May to August.","","","","","","","","","","","Lokalt almindelig i egnet habitat i Jylland. Meget sjælden eller manglende i øvrige dele af landet. Vidt udbredt i Europa men ret ualmindelig.","In Denmark this species is locally common in suitable habitats in the western parts of the country. Rare or absent in eastern parts. Widespread in Europe but generally uncommon.","","","","","","","","Palearctic","Austria, Belarus, Belgium, Bulgaria, Czech Republic, Denmark, Estonia, Finland, France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Great Britain (Northern Ireland), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Latvia, Lithuania, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (Kaliningrad Region), Russia (Northern European), Russia (NW. European), Slovakia, Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","P","P","","P","P","P","P","","","","P","","P","P","P","","","P","","","","P","","","P","","P","P","","","","P","","P","","P","P","","P","P","","P","","","","","P","","P","","P","P","P","","P","P","","P","","","P","","P"
"244","69","tenuitarsis","0","","Simon, 1876","0","","","0","0","0","0","","","","","","","","","","Ligner <i>P. piraticus</i> meget, og har også været forvekslet med denne art. <i>Pirata tenuitarsus</i> mangler dog de tynde hvide linier omkring hjertemærket, der også er mere utydeligt. De hvide punktrækker og de hvide bånd i bagkropssiderne er til gengæld mere veludviklede hos denne art i forhold til <i>P. piraticus</i>. Ben ensfarvede grønlig brune uden ringtegninger.","Resemble <i>P. piraticus</i>, a species it has been confused with in the past. However, <i>P. tenuitarsus</i> lacks the thin white lines at sides of cardiac mark which also is less distinct. The white paired spots and light bands a sides of abdomen are well-developed compared to those of <i>P. piraticus</i>. Legs greenish-brown without annulations.","4-6","5-8","Samme som <i>P. piraticus</i> men betydeligt sjældnere.","As <i>P. piraticus</i> but much rarer.","","","","","","","","Maj til august.","May to August.","","","","","","","","","","","Meget sjælden i Østjylland. Vidt udbredt i Europa og ualmindelig i de fleste regioner.","Very rare in Denmark with records from just one district. Widespread in Europe and iuncommon in most regions.","","","","","","","","Europe to Central Asia","Austria, Belgium, Bulgaria, Czech Republic, Denmark, Estonia, France (Mainland), Germany, Great Britain (Mainland), Hungary, Ireland, Italy (Mainland), Liechtenstein, Lithuania, Netherlands, Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (NW. European), Slovakia, Slovenia, Spain (Mainland), Sweden, Switzerland","","","P","","P","P","","P","","P","P","P","P","","","P","","","","P","P","","","","","","","","","","P","","P","P","","","P","P","","","","","","","P","","","P","","","P","","P","","","","P","P","P","","P","P","P","P","","","","",""
